ResponseId,btn_theme,expl_theme,prefers_explanations_and_buttons,trust_score,total_presses
R_2M3WhnmOq2Cvbtw,mixed,positive,0,4.583333333333333,4
R_8oVYNNWnilnz6jD,positive,positive,1,5.916666666666667,5
R_2yrVGJW615AnaKH,positive,positive,1,4.083333333333333,5
R_8mCywcisFRmzNhn,positive,positive,1,5.0,10
R_8otD3pW4QGhboRP,neutral,neutral,1,5.25,16
R_8jUF8bOHNCzhyTf,mixed,positive,1,5.166666666666667,1
R_8Tpo8BoSqiIjEAW,mixed,mixed,1,3.1666666666666665,7
R_8qUn1XcGiE5OEDz,mixed,positive,1,4.416666666666667,7
R_3IYIgKYfadiSTk2,negative,positive,1,5.416666666666667,11
R_8DGcmBS6CF7Tyud,positive,positive,1,4.083333333333333,3
R_8HeMXy2Z3njFsOd,positive,neutral,1,6.25,0
R_2g5fTpJz9683Pr2,positive,positive,1,4.75,5
R_83j5U9FAiStQjTp,mixed,mixed,1,3.75,10
R_2H1jhoBQSlTTdYZ,neutral,mixed,1,5.0,13
R_82u0lBYaOUfCZGK,mixed,positive,1,3.1666666666666665,7
R_82DrQrMtOuk65M6,positive,positive,1,5.416666666666667,4
R_2pbtVz7chdL3Z4J,positive,positive,1,6.083333333333333,3
R_8KOQ8LARhCHwTmq,mixed,positive,1,5.166666666666667,3
R_8iKLVhrra4leAVi,positive,mixed,1,3.25,5
R_8gMjhWXPlG363s0,positive,positive,1,6.0,5
R_8uOwwNy3E5L0Dpn,negative,positive,0,3.333333333333333,5
R_8FqAwKVQ55qnbwX,mixed,negative,0,4.333333333333333,18
R_8DefiU6rD694nQm,positive,positive,1,4.916666666666667,16
R_2AEDvno2pYQFEEH,neutral,positive,1,2.5,14
R_2GCn5kDuFjI4ROx,positive,positive,1,5.75,3
R_8x0jwlnM2fgjd9D,positive,positive,1,4.583333333333333,16
R_2Jjg3lGLOE80snf,negative,positive,1,5.75,1
R_2F3avXVwqRbdZWk,negative,positive,1,5.083333333333333,3
R_8aQPykCIrkN1rkQ,negative,mixed,1,5.083333333333333,8
R_2r16cF1wtgTa4l8,neutral,positive,0,3.4166666666666665,5
R_82yV6n7Hwnh8D2e,negative,positive,0,2.75,13
R_240i1i4hXpWXZjr,positive,positive,1,4.75,9
R_8TGfu6L1KP6Du3V,positive,positive,1,4.583333333333333,4
R_21idYiYyo38laOJ,positive,positive,1,5.083333333333333,8
R_2S1ftlbVSMEaaCa,positive,positive,1,5.083333333333333,4
R_8kidpk1vpAV0VcI,mixed,positive,1,6.0,12
